Time,Battery_Power_kW,SOC,Electricity_Price,PV_Power_kW,Wind_Power_kW,Load_kW,grid_purchase_cost,grid_sales_revenue,battery_loss_cost,battery_aging_cost,network_loss_cost,total_revenue,Battery_Remaining_Capacity_Percent,Battery_Cycles,Battery_Avg_DoD_Percent,Line_Losses_kW,Grid_Power_kW,Voltage_Bus_0_pu,Voltage_Bus_1_pu,Voltage_Bus_2_pu,Voltage_Bus_3_pu,Line_0_Loading_Percent,Line_1_Loading_Percent,Line_2_Loading_Percent,Line_3_Loading_Percent
2024-12-11,-17796288.384421498,0.0,0.22,90.49534922823554,34.80343160517024,126.57636584028246,3915183.7256414313,0.0,70704970557.66644,0.0,0.0,-35356400462.55886,100.0,0.0,50.0,355928.29921574675,17796289.66200651,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-12,-19414133.692078408,0.0,0.21,46.309331710019684,42.00617579540912,153.15747586053587,4076981.69214982,0.0,84144772548.25322,0.0,0.0,-42076463255.818756,100.0,0.0,50.0,388285.73699108534,19414198.534046765,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-13,-21031988.999778405,0.0,0.2,23.95101336260047,4.97005939479552,149.3083939424118,4206421.877419918,0.0,98753348012.75745,0.0,0.0,-49380880428.25614,100.0,0.0,50.0,420642.766163447,21032109.387099586,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-14,-22649844.30749548,0.0,0.17,30.809733389371626,11.892336672802394,131.94549509899173,3850488.703656488,0.0,114530617490.63995,0.0,0.0,-57269159234.023636,100.0,0.0,50.0,452999.52505981154,22649933.550920513,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-15,-24267689.615166243,0.0,0.19,90.03518247419866,27.393662721856128,131.09109908179883,4610863.622709825,0.0,131476472626.03027,0.0,0.0,-65742847176.63785,100.0,0.0,50.0,485356.41412530653,24267703.27742013,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-16,-25885514.922829367,0.0,0.22,69.95203190176223,13.993163434086767,131.13532627589615,5694823.664851268,0.0,149590776169.42645,0.0,0.0,-74801082908.37808,100.0,0.0,50.0,517712.9211631129,25885562.1129603,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-17,-27503380.230566103,0.0,0.17,54.01059598535179,41.706536235316364,134.51878280286707,4675581.235476837,0.0,168874221594.80756,0.0,0.0,-84441786378.63925,100.0,0.0,50.0,550070.294986978,27503419.032216687,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-18,-29121225.538246565,0.0,0.18,92.72170175664397,1.4048436494528076,140.69318008570266,5241828.978878624,0.0,189326115427.64645,0.0,0.0,-94668299542.80211,100.0,0.0,50.0,582427.324628533,29121272.104881234,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-19,-30739070.845936626,0.0,0.18,78.98319831577861,0.0,138.09446052197924,5533043.39229579,0.0,210946688826.39117,0.0,0.0,-105478877456.58788,100.0,0.0,50.0,614784.178807943,30739129.957198825,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-20,-32356906.153609715,0.0,0.2,74.89194005896101,0.0,134.15441592554518,6471393.083217117,0.0,233735797317.1062,0.0,0.0,-116874370051.63632,100.0,0.0,50.0,647140.8061605128,32356965.41608558,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-21,-33974751.46130015,0.0,0.2,97.30582406642316,12.890099982268154,143.13188105222662,6794956.87945143,0.0,257693722623.74103,0.0,0.0,-128853656268.74997,100.0,0.0,50.0,679497.891863624,33974784.39725715,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-22,-35592606.769017264,0.0,0.17,42.208484654670514,13.445419083782287,129.9058280982572,6050755.773560076,0.0,282820486417.5195,0.0,0.0,-141416293964.5333,100.0,0.0,50.0,711854.7334969072,35592681.020941615,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-23,-37210432.07666094,0.0,0.22,64.67881682189207,53.45539473247907,134.18005015898612,8186298.586949899,0.0,309115445789.47687,0.0,0.0,-154565909193.32538,100.0,0.0,50.0,744211.3251342219,37210448.12249955,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-24,-38828297.38438773,0.0,0.18,65.7862687733532,18.83688332006671,136.25813161222337,6989102.823486106,0.0,336579749306.9486,0.0,0.0,-168296863756.2978,100.0,0.0,50.0,776568.6728503869,38828349.01936725,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-25,-40446142.69208775,0.0,0.17,40.777175362996076,30.816668450468573,138.769959558077,6875855.677594596,0.0,365212400100.60156,0.0,0.0,-182613075905.97836,100.0,0.0,50.0,808925.6292409461,40446209.86820349,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-26,-42063967.99973164,0.0,0.22,26.673802329770886,48.439108129977214,147.98492691900438,9254088.991784582,0.0,395013354827.7509,0.0,0.0,-197515931502.86725,100.0,0.0,50.0,841282.3196931711,42064040.87174808,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-27,-43681813.30743154,0.0,0.21,64.99493568712641,38.38029157985599,131.5908659004341,9173186.719844738,0.0,425983350305.6074,0.0,0.0,-213000848339.52356,100.0,0.0,50.0,873638.8979659489,43681841.52307017,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-28,-45299678.61514855,0.0,0.18,50.82179637626969,52.476240387508255,140.39856427558112,8153948.828821693,0.0,458122429875.58105,0.0,0.0,-229069368886.61935,100.0,0.0,50.0,905996.3802742567,45299715.71567606,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-29,-46917523.92282902,0.0,0.19,45.044368269187196,53.24410761494142,142.5876079281372,8914337.962172601,0.0,491429798932.0056,0.0,0.0,-245723813803.96497,100.0,0.0,50.0,938353.3302087389,46917568.22196106,1.0,1.0,1.0,1.0,0,0,0,0
2024-12-30,-48535349.23049247,0.0,0.22,51.34453593006938,61.87659186549082,127.30061155615994,10677779.928194772,0.0,525905414133.14935,0.0,0.0,-262963384846.50287,100.0,0.0,50.0,970709.5306220806,48535363.30997623,1.0,1.0,1.0,1.0,0,0,0,0
